transferor_loan_number,fnma_loan_number,min,mers_eligible,remittance_type,upb,scheduled_upb,next_due_date,note_rate_pct,pi_payment,escrow_payment,maturity_date,original_term_months,original_upb,instrument_date,origination_date,first_payment_date,interest_method,amortization,arm_index,arm_margin_bps,arm_initial_cap_bps,arm_periodic_cap_bps,arm_lifetime_cap_bps,arm_lookback_days,arm_next_change_date,escrowed,escrow_balance,late_charge_pct,late_charge_grace_days,deferred_principal,forborne_principal,nib_separated,bk_active,fc_active,lm_in_process,scra_active,scra_rate_cap_reason,borrower_name,borrower_tin,borrower_phone,borrower_email,borrower_language,coborrower_name,property_address1,property_city,property_state,property_zip,occupancy,custodian,custody_certification_status,enote_evault_ref,tax_parcel_verified,hazard_policy_expires,mi_flag,mi_certificate_number,flood_determination_life_of_loan,sii_present,sii_complete,unapplied_funds,fair_lending_present,acp_enrolled,fees_advances,fees_itemized,corporate_advances,late_charges_due,mers_investor_is_fnma,last_principal_applied
TR-0000011,4100000077,100045600000000119,Y,A/A,192256.76,,2026-09-01,6.125,1184.84,430.67,2055-06-01,360,195000.00,2025-05-13,2025-05-13,2025-07-01,30_360,fixed,,,,,,,,Y,82.22,5,15,0.00,0.00,Y,N,N,N,N,,David Williams,000-50-7162,+16855558398,david.williams11@example.test,en,Ahmed Williams,6776 Elm Dr,Aurora,CO,80012,owner_occupied,Bank Custodian NA,certified,,Y,2026-10-19,Y,MI-319838,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000012,4100000084,100045600000000127,Y,S/A,566993.20,,2026-09-01,4.750,3347.41,0.00,2050-01-01,360,641700.00,2019-12-22,2019-12-22,2020-02-01,actual_365,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Michael Singh,000-11-2984,+13455557936,,,,8581 Birch Rd,Dallas,TX,75201,second_home,Bank Custodian NA,certified,,Y,2027-03-06,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000013,4100000091,100045600000000136,Y,S/A,330875.75,,2026-09-01,4.250,2054.34,0.00,2046-07-01,360,417600.00,2016-06-15,2016-06-15,2016-08-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Patricia Flores,000-15-1086,+18335557277,,en,,7050 Lakeview Rd,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-22,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,,
TR-0000014,4100000098,100045600000000143,Y,S/A,355512.37,,2026-09-01,3.375,1806.85,620.50,2050-07-01,360,408700.00,2020-06-20,2020-06-20,2020-08-01,30_360,fixed,,,,,,,,Y,3159.45,4,15,0.00,0.00,Y,N,N,N,N,,Robert Nguyen,000-75-7987,+18775557395,robert.nguyen14@example.test,en,,9182 Cedar Ln,Columbus,OH,43215,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-06,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000015,4100000105,,N,S/A,254762.40,,2026-09-01,5.125,2500.80,702.50,2037-10-01,180,313650.00,2022-09-19,2022-09-19,2022-11-01,30_360,fixed,,,,,,,,Y,2817.33,4,15,0.00,0.00,Y,N,N,N,N,,Sofia Anderson,000-61-4741,+12675558092,sofia.anderson15@example.test,en,Luis Anderson,7718 Summit Ave,Albany,NY,12207,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-05,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,,1412.75
TR-0000016,4100000112,100045600000000168,Y,S/A,757795.41,,2026-09-01,7.250,5224.45,975.75,2055-07-01,360,765850.00,2025-06-22,2025-06-22,2025-08-01,30_360,fixed,,,,,,,,Y,1059.37,5,15,0.00,0.00,Y,N,N,N,N,,James Williams,000-85-9570,+16505559941,,en,,9241 Sunset Blvd,Tampa,FL,33602,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-16,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000017,4100000119,100045600000000176,Y,S/S,155993.25,155993.25,2026-09-01,7.500,1102.66,468.25,2055-06-01,360,157700.00,2025-05-04,2025-05-04,2025-07-01,30_360,fixed,,,,,,,,Y,-468.25,4,15,0.00,0.00,Y,N,N,N,N,,Rosa Flores,000-27-6017,+15875558567,,en,Linda Flores,8947 Sunset Blvd,Cincinnati,OH,45202,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-14,Y,MI-573432,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000018,4100000126,100045600000000184,Y,S/S,352213.06,352213.06,2026-09-01,4.875,2335.13,707.08,2046-02-01,360,441250.00,2016-01-18,2016-01-18,2016-03-01,30_360,fixed,,,,,,,,Y,8.74,5,15,0.00,0.00,Y,N,N,N,N,,Maria Williams,000-37-3822,+18035555121,,en,Samuel Williams,2743 Oak St,Tucson,AZ,85701,owner_occupied,Bank Custodian NA,certified,,Y,2026-09-15,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000019,4100000133,100045600000000192,Y,S/S,243799.70,243799.70,2026-09-01,6.000,1492.88,502.58,2054-12-01,360,249000.00,2024-11-04,2024-11-04,2025-01-01,30_360,fixed,,,,,,,,Y,2058.63,5,15,0.00,0.00,Y,N,N,N,N,,Grace Singh,000-44-5249,+18365553851,,en,Aisha Singh,4016 Summit Ave,Spokane,WA,99201,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-25,N,,Y,N,Y,96.88,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000020,4100000140,100045600000000200,Y,A/A,534134.56,,2026-08-01,6.750,3564.37,892.58,2054-01-01,360,549550.00,2023-12-11,2023-12-11,2024-02-01,30_360,fixed,,,,,,,,Y,2757.57,5,15,0.00,0.00,Y,N,N,N,N,,Robert Brown,000-44-4407,+13925559364,robert.brown20@example.test,en,,8805 Summit Ave,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-11,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,178.21,Y,559.86
TR-0000021,4100000147,100045600000000218,Y,A/A,126368.76,,2026-09-01,4.750,787.95,373.58,2047-11-01,360,151050.00,2017-10-11,2017-10-11,2017-12-01,30_360,arm,SOFR_30D_AVG,,500,100,500,45,2028-05-01,Y,423.86,5,15,0.00,0.00,Y,N,N,N,N,,Thomas Harris,000-17-2298,+13545556664,thomas.harris21@example.test,en,,8261 Summit Ave,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-03,N,,Y,N,Y,155.99,N,N,0.00,Y,0.00,0.00,Y,
TR-0000022,4100000154,100045600000000226,Y,A/A,459355.70,,2026-07-01,7.375,3227.52,573.42,2054-09-01,360,467300.00,2024-08-08,2024-08-08,2024-10-01,30_360,fixed,,,,,,,,Y,71.91,5,15,0.00,0.00,Y,N,N,N,N,,Michael Brown,000-46-7391,+14245551362,michael.brown22@example.test,en,,2118 Lakeview Rd,Jacksonville,FL,32202,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-02,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,322.74,Y,
TR-0000023,4100000161,100045600000000234,Y,A/A,303769.16,,2026-09-01,4.125,1752.49,511.83,2048-08-01,360,361600.00,2018-07-26,2018-07-26,2018-09-01,30_360,fixed,,,,,,,,Y,14.16,5,15,0.00,0.00,Y,N,N,N,N,,Emily Jackson,000-66-1241,+13445559109,emily.jackson23@example.test,en,Jennifer Jackson,192 Oak St,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-02,N,,Y,N,Y,0.00,Y,N,540.49,Y,0.00,0.00,Y,
TR-0000024,4100000168,100045600000000242,Y,A/A,215297.94,,2026-09-01,4.125,1196.12,625.67,2050-01-01,360,246800.00,2019-12-07,2019-12-07,2020-02-01,30_360,arm,SOFR_30D_AVG,275,200,100,500,45,2029-02-01,Y,2566.55,5,15,0.00,0.00,Y,N,N,N,N,,Hannah White,000-39-6263,+13165552255,hannah.white24@example.test,es,,2645 Lakeview Rd,Orlando,FL,32801,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-27,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000025,4100000175,100045600000000259,Y,A/A,257130.41,,2026-09-01,4.750,3118.72,0.00,2034-12-01,180,400950.00,2019-11-08,2019-11-08,2020-01-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Rosa Clark,000-92-9719,+16895554757,rosa.clark25@example.test,en,,6965 Maple Ave,Rochester,NY,14604,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-03,Y,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,2100.91
TR-0000026,4100000182,100045600000000267,Y,A/A,237942.18,,2026-09-01,4.750,3898.49,925.75,2032-06-01,180,501200.00,2017-05-20,2017-05-20,2017-07-01,30_360,fixed,,,,,,,,Y,4705.61,4,15,0.00,0.00,Y,N,N,N,N,,Kevin Garcia,000-24-3518,+13725552629,kevin.garcia26@example.test,en,Joseph Garcia,5291 Oak St,Tacoma,WA,98402,owner_occupied,Bank Custodian NA,certified,,Y,2027-05-19,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000027,4100000189,100045600000000275,Y,A/A,560687.22,,2026-09-01,6.125,5115.66,1138.67,2040-01-01,180,601400.00,2024-12-05,2024-12-05,2025-02-01,30_360,fixed,,,,,,,,Y,2358.88,5,15,0.00,0.00,Y,N,N,N,N,,Emily Jackson,000-58-9527,+18395553749,emily.jackson27@example.test,,,9111 Cedar Ln,Columbus,OH,43215,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-07,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000028,4100000196,100045600000000283,Y,A/A,163816.79,,2026-09-01,4.500,1006.02,354.58,2047-08-01,360,198550.00,2017-07-17,2017-07-17,2017-09-01,30_360,arm,SOFR_30D_AVG,275,500,100,500,45,2027-09-01,Y,1805.28,4,15,0.00,0.00,Y,N,N,N,N,,Ana Torres,000-69-5400,+16505558652,ana.torres28@example.test,en,,7687 Prairie Dr,Spokane,WA,99201,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-12,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000029,4100000203,100045600000000291,Y,A/A,261586.11,,2026-09-01,4.000,1607.22,933.50,2046-03-01,360,336650.00,2016-02-23,2016-02-23,2016-04-01,30_360,fixed,,,,,,,,Y,74.27,5,15,0.00,0.00,Y,N,N,N,N,,Rosa Smith,000-95-2542,+17935558660,rosa.smith29@example.test,en,,2942 Harbor Dr,Naperville,IL,60540,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-20,Y,MI-114886,Y,N,Y,167.20,N,N,0.00,Y,0.00,0.00,Y,
TR-0000030,4100000210,100045600000000309,Y,A/A,249893.07,,2026-09-01,4.625,1585.86,1028.83,2046-11-01,360,308450.00,2016-10-19,2016-10-19,2016-12-01,30_360,fixed,,,,,,,,Y,15.07,5,15,0.00,0.00,Y,N,N,N,N,,Michael Wilson,000-16-2834,+19815558687,michael.wilson30@example.test,en,,6955 Meadow Ln,Naperville,IL,60540,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-07,N,,N,N,Y,0.00,Y,N,493.46,Y,0.00,0.00,Y,622.73
TR-0000031,4100000217,100045600000000317,Y,A/A,382617.07,,2026-08-01,3.250,2760.54,903.17,2041-01-01,240,486700.00,2020-12-03,2020-12-03,2021-02-01,30_360,fixed,,,,,,,,Y,2753.70,5,15,0.00,0.00,Y,N,N,N,N,,William Jackson,000-36-9754,+12145551336,william.jackson31@example.test,en,,1880 Maple Ave,Spokane,WA,99201,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-31,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,138.02,Y,
TR-0000032,4100000224,100045600000000325,Y,S/A,290760.91,,2026-09-01,7.000,2855.13,505.25,2039-07-01,180,317650.00,2024-06-18,2024-06-18,2024-08-01,30_360,fixed,,,,,,,,Y,30.97,4,15,0.00,0.00,Y,N,N,N,N,,James Chen,000-33-1109,+14685557860,james.chen32@example.test,en,Grace Chen,3330 Maple Ave,Charlotte,NC,28202,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-15,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000033,4100000231,100045600000000333,Y,S/A,288325.36,,2026-09-01,5.500,1734.03,0.00,2052-10-01,360,305400.00,2022-09-06,2022-09-06,2022-11-01,30_360,arm,SOFR_30D_AVG,300,200,100,500,45,2028-07-01,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Joseph Clark,000-69-9686,+17625551994,,en,,871 River Rd,San Antonio,TX,78205,second_home,Bank Custodian NA,certified,,Y,2027-06-02,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000034,4100000238,100045600000000341,Y,S/A,559672.82,,2026-09-01,2.875,2605.94,984.25,2051-10-01,360,628100.00,2021-09-21,2021-09-21,2021-11-01,30_360,fixed,,,,,,,,Y,-984.25,4,15,0.00,0.00,Y,N,N,N,N,,Rosa Davis,000-44-9922,+17555558836,rosa.davis34@example.test,en,,6889 Birch Rd,Reno,NV,89501,owner_occupied,Bank Custodian NA,certified,,Y,2027-01-22,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000035,4100000245,100045600000000358,Y,S/A,579619.41,,2026-09-01,7.500,4114.18,975.92,2055-01-01,360,588400.00,2024-12-08,2024-12-08,2025-02-01,30_360,fixed,,,,,,,,Y,94.52,5,15,0.00,0.00,Y,N,N,N,N,,Linda Kim,000-82-9335,+15625556083,,en,Linda Kim,3591 Ridge Ct,Tacoma,WA,98402,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-07,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,491.56
TR-0000036,4100000252,100045600000000366,Y,S/A,113913.23,,2026-07-01,3.875,715.23,396.42,2045-02-01,360,152100.00,2015-01-03,2015-01-03,2015-03-01,30_360,fixed,,,,,,,,Y,2055.66,4,15,0.00,0.00,Y,N,N,N,N,,Carlos Lopez,000-43-9680,+18335556464,,en,,5227 Ridge Ct,Riverside,CA,92501,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-06,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,71.52,Y,
TR-0000037,4100000259,100045600000000374,Y,S/S,425542.04,425542.04,2026-09-01,3.000,2069.65,0.00,2050-09-01,360,490900.00,2020-08-15,2020-08-15,2020-10-01,actual_365,arm,SOFR_30D_AVG,300,200,100,500,45,2029-01-01,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Maria Patel,000-36-5880,+13105553810,maria.patel37@example.test,en,,4110 Prairie Dr,San Antonio,TX,78205,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-27,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000038,4100000266,100045600000000382,Y,S/S,694441.53,694441.53,2026-09-01,6.875,4745.65,1370.08,2053-03-01,360,722400.00,2023-02-17,2023-02-17,2023-04-01,30_360,fixed,,,,,,,,Y,4175.01,5,15,0.00,0.00,Y,N,N,N,N,,Aisha Miller,000-61-5507,+17265556283,,en,,3572 Prairie Dr,Fresno,CA,93721,owner_occupied,Bank Custodian NA,certified,,Y,2027-02-05,Y,MI-482358,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000039,4100000273,100045600000000390,Y,S/S,630991.66,630991.66,2026-09-01,6.125,4006.28,862.33,2053-04-01,360,659350.00,2023-03-15,2023-03-15,2023-05-01,30_360,fixed,,,,,,,,Y,2665.74,5,15,0.00,0.00,Y,N,N,N,N,,Patricia Torres,000-75-7189,+16935559989,patricia.torres39@example.test,en,Aisha Torres,4830 Prairie Dr,Baltimore,MD,21202,owner_occupied,Bank Custodian NA,certified,,Y,2026-10-28,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000040,4100000280,100045600000000408,Y,A/A,583250.70,,2026-09-01,6.125,5279.40,965.92,2040-03-01,180,620650.00,2025-02-17,2025-02-17,2025-04-01,30_360,fixed,,,,,,,,Y,1039.69,5,15,18450.00,0.00,Y,N,N,N,N,,Emily Lopez,000-24-5128,+15395552921,emily.lopez40@example.test,en,,7669 Pine St,Tacoma,WA,98402,owner_occupied,Bank Custodian NA,pending,,Y,2027-06-15,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,2302.39
TR-0000041,4100000287,100045600000000416,Y,A/A,352453.53,,2026-09-01,2.875,3677.94,0.00,2035-09-01,180,537250.00,2020-08-25,2020-08-25,2020-10-01,actual_365,fixed,,,,,,,,N,0.00,5,15,9120.55,0.00,Y,N,N,N,N,,Rosa Garcia,000-45-2669,+18665554604,rosa.garcia41@example.test,en,Hannah Garcia,4234 Summit Ave,Jacksonville,FL,32202,owner_occupied,Bank Custodian NA,certified,,Y,2026-10-19,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000042,4100000294,100045600000000424,Y,A/A,576501.26,,2026-09-01,6.375,4397.65,660.17,2045-05-01,240,595700.00,2025-04-03,2025-04-03,2025-06-01,30_360,fixed,,,,,,,,Y,1347.18,5,15,0.00,0.00,Y,N,N,Y,N,,Thomas Clark,000-74-9690,+19405557552,thomas.clark42@example.test,en,,4905 Lakeview Rd,Jacksonville,FL,32202,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-28,N,,Y,N,Y,0.00,Y,N,173.62,Y,0.00,0.00,Y,
TR-0000043,4100000301,100045600000000432,Y,A/A,263652.56,,2026-09-01,4.500,1638.87,1118.58,2047-03-01,360,323450.00,2017-02-07,2017-02-07,2017-04-01,30_360,fixed,,,,,,,,Y,3441.69,5,15,0.00,22300.00,Y,N,N,N,N,,Michael Lopez,000-30-6879,+15785553013,,en,Linda Lopez,2062 Ridge Ct,Newark,NJ,07102,owner_occupied,Bank Custodian NA,certified,,Y,2026-10-17,N,,Y,N,Y,60.83,N,N,0.00,Y,0.00,0.00,Y,
TR-0000044,4100000308,100045600000000440,Y,A/A,568623.84,,2026-08-01,5.000,3548.12,0.00,2048-08-01,360,660950.00,2018-07-09,2018-07-09,2018-09-01,30_360,fixed,,,,,,,,N,0.00,5,15,0.00,0.00,Y,N,N,N,N,,Nguyen Lewis,000-81-7036,+17945553816,nguyen.lewis44@example.test,es,,6118 Harbor Dr,Spokane,WA,99201,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-01,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,177.40,Y,
TR-0000045,4100000315,100045600000000457,Y,A/A,393224.23,,2026-09-01,3.000,1852.32,570.42,2051-11-01,360,439350.00,2021-10-07,2021-10-07,2021-12-01,actual_365,fixed,,,,,,,,Y,1203.66,4,15,0.00,0.00,Y,N,N,N,N,,Thomas Williams,000-74-4663,+14445556238,thomas.williams45@example.test,en,,7704 Harbor Dr,Charlotte,NC,28202,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-28,N,,Y,Y,N,0.00,N,N,0.00,Y,0.00,0.00,Y,869.26
TR-0000046,4100000322,100045600000000465,Y,A/A,140624.46,,2026-09-01,4.875,3230.52,832.42,2030-08-01,180,411900.00,2015-07-02,2015-07-02,2015-09-01,30_360,fixed,,,,,,,,Y,2526.20,5,15,0.00,0.00,Y,N,N,N,N,,David Singh,000-25-1221,+14435553319,david.singh46@example.test,en,,4449 River Rd,Orlando,FL,32801,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-13,N,,Y,Y,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000047,4100000329,100045600000000473,Y,A/A,442797.77,,2026-09-01,3.000,2174.21,866.42,2050-05-01,360,515700.00,2020-04-18,2020-04-18,2020-06-01,30_360,fixed,,,,,,,,Y,2694.12,5,15,0.00,0.00,Y,N,N,N,N,,Sofia Smith,000-75-6856,+12775557427,sofia.smith47@example.test,en,,4763 Elm Dr,Jacksonville,FL,32202,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-25,N,,Y,Y,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000048,4100000336,100045600000000481,Y,A/A,513889.76,,2026-09-01,4.000,3230.91,1192.50,2045-07-01,360,676750.00,2015-06-14,2015-06-14,2015-08-01,30_360,arm,SOFR_30D_AVG,300,200,100,500,45,2029-12-01,Y,30.11,5,15,0.00,0.00,Y,N,N,N,N,,Luis Reyes,000-69-7470,+13225556176,,en,Robert Reyes,7688 River Rd,Atlanta,GA,30303,owner_occupied,Bank Custodian NA,certified,,Y,2027-05-26,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000049,4100000343,100045600000000499,Y,A/A,353227.17,,2026-09-01,6.625,2359.87,471.92,2053-02-01,360,368550.00,2023-01-06,2023-01-06,2023-03-01,30_360,fixed,,,,,,,,Y,78.54,5,15,0.00,0.00,Y,N,N,N,N,,Ahmed Davis,000-61-2605,+18395558165,ahmed.davis49@example.test,en,,1094 Elm Dr,Albany,NY,12207,owner_occupied,Bank Custodian NA,certified,,Y,2027-06-01,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
